fecha;provincia;siglas;grupo_edad;hombres;mujeres;tasa_hombres_x1000;tasa_mujeres_x1000;enfermos
2025-10-21;Ávila;AV;20-29;2965;3246;415.149818;491.9672628;6211
2025-10-21;León;LE;20-29;7754;8618;420.476113;499.8260063;16372
2025-10-21;Palencia;PA;20-29;3293;3433;479.6795339;525.1644485;6726
2025-10-21;Segovia;SE;20-29;3388;3603;439.2583949;500.6252605;6991
2025-10-21;Soria;SO;20-29;1954;2089;443.7883261;508.3962035;4043
2025-10-21;León;LE;30-39;9249;11991;378.8865675;488.5312691;21240
2025-10-21;Burgos;BU;40-49;11388;13380;399.60699;494.7310039;24768
2025-10-21;León;LE;50-59;11624;15699;332.6846022;440.5005752;27323
2025-10-21;Palencia;PA;50-59;4832;6064;380.4125335;498.3153916;10896
2025-10-21;Soria;SO;50-59;2393;3076;327.8531306;480.3998126;5469
2025-10-21;Valladolid;VA;50-59;14546;18728;368.4677154;463.94332;33274
2025-10-21;Zamora;ZA;50-59;4657;5973;361.8211483;479.2586055;10630
2025-10-21;Castilla y León;CyL;50-59;64677;83775;352.1542407;459.8120685;148452
2025-10-21;Burgos;BU;60-69;7790;9101;334.176998;419.5169171;16891
2025-10-21;Salamanca;SA;60-69;7376;9112;367.71524;445.9234609;16488
2025-10-21;Burgos;BU;70-79;6032;6675;370.8576698;388.4879525;12707
2025-10-21;Segovia;SE;70-79;2453;2709;432.3990834;432.4022346;5162
2025-10-21;Soria;SO;70-79;1839;2003;456.780924;493.5929029;3842
2025-10-21;Valladolid;VA;70-79;9511;11617;396.9035597;423.5761686;21128
2025-10-21;Zamora;ZA;70-79;3851;4386;436.9681153;443.4782609;8237
2025-10-21;Castilla y León;CyL;70-79;45329;53354;415.3289353;435.1237176;98683
2025-10-21;Palencia;PA;>80;2994;5098;599.8797836;562.8795407;8092
2025-10-21;Segovia;SE;>80;2446;3820;509.6895186;477.3210046;6266
2025-10-21;Valladolid;VA;>80;7361;11968;536.9073669;513.9348134;19329
2025-10-21;Zamora;ZA;>80;4095;6026;523.255814;486.0461365;10121
2025-10-21;Ávila;AV;0-9;2371;2158;407.7386071;404.1955422;4529
2025-10-21;Salamanca;SA;0-9;4859;4605;434.2657968;433.8200659;9464
2025-10-21;Soria;SO;0-9;1498;1410;443.9834025;435.723115;2908
2025-10-21;Valladolid;VA;0-9;9033;8444;427.7596249;421.3362607;17477
2025-10-21;Ávila;AV;10-19;3093;2973;443.4408602;457.1736122;6066
2025-10-21;León;LE;10-19;7575;7602;443.9950765;467.4414315;15177
2025-10-21;Palencia;PA;10-19;3247;3177;516.8736071;536.746072;6424
2025-10-21;Salamanca;SA;10-19;6362;6674;449.7702368;486.0888565;13036
2025-10-21;Soria;SO;10-19;1871;1864;472.3554658;503.1039136;3735
2025-10-21;Zamora;ZA;10-19;2933;2986;506.3881215;532.0741269;5919
2025-10-21;Valladolid;VA;20-29;10584;11851;440.6694979;504.254957;22435
2025-10-21;Ávila;AV;30-39;3279;4104;394.8223961;501.7728329;7383
2025-10-21;Burgos;BU;30-39;8690;9957;416.8065615;497.9246887;18647
2025-10-21;Palencia;PA;30-39;4092;4638;443.0009743;538.0510441;8730
2025-10-21;Salamanca;SA;30-39;6956;8689;383.4831027;467.1003118;15645
2025-10-21;Soria;SO;30-39;2120;2573;400.6046863;519.7979798;4693
2025-10-21;Valladolid;VA;30-39;12313;15203;393.3614466;486.5427081;27516
2025-10-21;Zamora;ZA;30-39;3404;4170;397.2922502;530.4668617;7574
2025-10-21;León;LE;40-49;12033;15906;376.2193597;486.035568;27939
2025-10-21;Segovia;SE;40-49;4346;5373;381.9987694;466.4467402;9719
2025-10-21;Soria;SO;40-49;2654;3155;392.0815482;507.6427997;5809
2025-10-21;Valladolid;VA;40-49;17232;20946;383.9486642;478.1209341;38178
2025-10-21;Castilla y León;CyL;40-49;69744;87177;388.3750327;491.301334;156921
2025-10-21;Salamanca;SA;50-59;8517;11321;342.7088363;447.3819403;19838
2025-10-21;Ávila;AV;60-69;3934;4553;389.8523437;503.9291644;8487
2025-10-21;Valladolid;VA;60-69;11028;14405;353.9834371;428.159553;25433
2025-10-21;Castilla y León;CyL;60-69;55573;67629;364.7431774;452.5101537;123202
2025-10-21;Ávila;AV;70-79;3224;3810;455.1101073;501.0520779;7034
2025-10-21;Palencia;PA;70-79;3611;3901;485.284236;495.3650794;7512
2025-10-21;Ávila;AV;>80;3239;4833;546.5744178;535.8687216;8072
2025-10-21;Castilla y León;CyL;>80;42382;66816;519.0819126;492.7869723;109198
2025-10-08;Valladolid;VA;0-9;9031;8440;427.6649145;421.1366698;17471
2025-10-08;Zamora;ZA;0-9;2220;2009;454.0805891;447.8377173;4229
2025-10-08;Ávila;AV;10-19;3093;2975;443.4408602;457.4811625;6068
2025-10-08;León;LE;10-19;7576;7608;444.0536897;467.8103671;15184
2025-10-08;Segovia;SE;10-19;3124;3020;430.5402426;438.3164006;6144
2025-10-08;Salamanca;SA;20-29;7444;8524;456.6871166;492.2614923;15968
2025-10-08;Segovia;SE;20-29;3388;3601;439.2583949;500.347367;6989
2025-10-08;Castilla y León;CyL;20-29;47595;52148;442.5712745;503.3493562;99743
2025-10-08;Ávila;AV;30-39;3279;4106;394.8223961;502.0173615;7385
2025-10-08;Salamanca;SA;30-39;6956;8688;383.4831027;467.0465541;15644
2025-10-08;Castilla y León;CyL;30-39;53625;65442;397.2369347;492.80841;119067
2025-10-08;León;LE;40-49;12028;15904;376.0630315;485.9744546;27932
2025-10-08;Soria;SO;40-49;2656;3155;392.3770129;507.6427997;5811
2025-10-08;Ávila;AV;50-59;4087;5440;343.0705951;469.4511564;9527
2025-10-08;León;LE;50-59;11619;15692;332.5414997;440.3041612;27311
2025-10-08;Palencia;PA;50-59;4832;6066;380.4125335;498.4797436;10898
2025-10-08;Salamanca;SA;50-59;8512;11317;342.5076453;447.2238688;19829
2025-10-08;Segovia;SE;50-59;4185;5244;358.0289161;454.065287;9429
2025-10-08;Soria;SO;50-59;2393;3077;327.8531306;480.5559894;5470
2025-10-08;Valladolid;VA;50-59;14549;18723;368.543709;463.8194565;33272
2025-10-08;Castilla y León;CyL;50-59;64665;83754;352.0889029;459.6968067;148419
2025-10-08;Salamanca;SA;60-69;7378;9113;367.8149459;445.9723989;16491
2025-10-08;Soria;SO;60-69;2161;2433;397.6812661;495.6202893;4594
2025-10-08;Zamora;ZA;60-69;4502;5338;388.33779;497.9477612;9840
2025-10-08;Ávila;AV;70-79;3222;3806;454.8277809;500.5260389;7028
2025-10-08;Burgos;BU;70-79;6030;6675;370.7347064;388.4879525;12705
2025-10-08;Palencia;PA;>80;2992;5098;599.4790623;562.8795407;8090
2025-10-08;Castilla y León;CyL;>80;42328;66769;518.4205369;492.440334;109097
2025-10-08;Burgos;BU;0-9;5620;5155;394.2752911;383.2713755;10775
2025-10-08;Salamanca;SA;10-19;6359;6676;449.5581478;486.2345229;13035
2025-10-08;Soria;SO;10-19;1871;1864;472.3554658;503.1039136;3735
2025-10-08;Zamora;ZA;10-19;2931;2987;506.0428177;532.2523165;5918
2025-10-08;Castilla y León;CyL;10-19;45836;45918;447.9890534;472.028619;91754
2025-10-08;León;LE;20-29;7749;8617;420.204978;499.7680084;16366
2025-10-08;Palencia;PA;20-29;3292;3435;479.5338674;525.4703993;6727
2025-10-08;Valladolid;VA;20-29;10586;11850;440.7527688;504.2124075;22436
2025-10-08;Burgos;BU;30-39;8688;9956;416.7106336;497.8746812;18644
2025-10-08;León;LE;30-39;9250;11997;378.9275327;488.7757181;21247
2025-10-08;Palencia;PA;30-39;4091;4636;442.8927141;537.8190255;8727
2025-10-08;Segovia;SE;30-39;3526;4108;396.5362123;467.1898101;7634
2025-10-08;Soria;SO;30-39;2121;2574;400.7936508;520.0;4695
2025-10-08;Valladolid;VA;30-39;12309;15205;393.2336592;486.6067142;27514
2025-10-08;Segovia;SE;40-49;4347;5373;382.0866661;466.4467402;9720
2025-10-08;Castilla y León;CyL;40-49;69739;87164;388.3471898;491.2280702;156903
2025-10-08;Burgos;BU;50-59;9833;12227;352.2100437;457.7514882;22060
2025-10-08;Palencia;PA;60-69;4656;5421;399.2796501;500.9240436;10077
2025-10-08;Valladolid;VA;60-69;11025;14409;353.8871413;428.2784449;25434
2025-10-08;Castilla y León;CyL;60-69;55558;67618;364.6447277;452.436552;123176
2025-10-08;Palencia;PA;70-79;3612;3897;485.4186265;494.8571429;7509
2025-10-08;Soria;SO;70-79;1840;2001;457.0293095;493.1000493;3841
